MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type,distance,distance_to_bains_des_paquis
a0:b5:49:60:d6:b0,pkn-74893,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:54:18,100,5500,-92,46.21111762,6.152886904,431.0472412,3.790092468,,,WIFI,0.013292871938359301,1.5862870353128498
00:24:b2:8b:ff:8e,Marti marine,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 15:54:18,1,2412,-72,46.21111762,6.152886904,431.0472412,3.790092468,,,WIFI,0.013292871938359301,1.5862870353128498
ba:a7:b9:26:07:6a,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:18,4,2427,-82,46.21111762,6.152886904,431.0472412,3.790092468,,,WIFI,0.013292871938359301,1.5862870353128498
f4:cf:e2:66:d8:bf,((o)) ville-geneve,[ESS],2024-10-05 15:54:18,136,5680,-90,46.21111762,6.152886904,431.0472412,3.790092468,,,WIFI,0.013292871938359301,1.5862870353128498
62:ec:e5:e1:9d:8f,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][MFPC],2024-10-05 15:54:23,60,5300,-76,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
04:18:d6:cc:1d:cb,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:23,128,5640,-94,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
f4:cf:e2:66:d8:bf,((o)) ville-geneve,[ESS],2024-10-05 15:54:23,136,5680,-84,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
d8:ec:e5:e1:9d:89,ipworldcomSC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-10-05 15:54:23,11,2462,-70,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
36:de:4b:8e:e9:23,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:23,36,5180,-91,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
d8:ec:e5:e1:9d:8a,ipworldcomSC,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2024-10-05 15:54:23,60,5300,-77,46.21111894,6.152968714,430.03125,3.790092468,,,WIFI,0.013338994442509654,1.5903672158254318
1a:e8:29:ab:7a:7c,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:28,44,5220,-84,46.21109344,6.153042329,430.5303955,3.790092468,,,WIFI,0.013358617891748957,1.5917521153722216
cc:32:e5:c6:c6:66,SDG,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:54:28,11,2462,-87,46.21109344,6.153042329,430.5303955,3.790092468,,,WIFI,0.013358617891748957,1.5917521153722216
18:e8:29:ab:7a:7c,LSK-216406222176258,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],2024-10-05 15:54:28,44,5220,-84,46.21109344,6.153042329,430.5303955,3.790092468,,,WIFI,0.013358617891748957,1.5917521153722216
c4:eb:43:80:8d:52,Sunrise_0702736,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:54:28,1,2412,-86,46.21109344,6.153042329,430.5303955,3.790092468,,,WIFI,0.013358617891748957,1.5917521153722216
22803_46001_28934177,Salt Mobile SA,LTE;ch,2024-10-05 15:54:28,3300,3300,-113,46.21109344,6.153042329,430.5303955,3.790092468,,,GSM,0.013358617891748957,1.5917521153722216
22803_46001_28934177,Salt Mobile SA,LTE;ch,2024-10-05 15:54:28,3300,3300,-88,46.21109344,6.153042329,430.5303955,3.790092468,,,GSM,0.013358617891748957,1.5917521153722216
00:95:69:90:2e:df,nvrap,[ESS],2024-10-05 15:54:33,1,2412,-89,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
76:83:c2:3b:ef:52,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:33,44,5220,-89,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
5e:e9:31:a0:73:6e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:33,2,2417,-89,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
5e:e9:31:a0:73:6d,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:33,48,5240,-87,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
74:83:c2:3a:ef:52,LSK-216406222176258,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],2024-10-05 15:54:33,11,2462,-88,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
74:83:c2:3b:ef:52,LSK-216406222176258,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS],2024-10-05 15:54:33,44,5220,-92,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
02:ef:6a:3f:20:24,S22,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 15:54:33,11,2462,-92,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
5c:e9:31:b0:73:6d,TP-Link_736E_5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 15:54:33,48,5240,-88,46.21105871,6.153094915,430.3035889,3.790092468,,,WIFI,0.013359222197468228,1.591337868792527
56:0f:36:c2:d9:0c,AndroidAP,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 16:01:47,6,2437,-70,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
48:8f:5a:0b:6e:d8,Muller-GE,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 16:01:47,8,2447,-89,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
04:18:d6:cc:1d:cb,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 16:01:47,128,5640,-90,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
30:ea:e7:bc:8e:46,3000SP_2232-182201391,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 16:01:47,10,2457,-84,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
ec:97:e0:35:b4:a8,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2024-10-05 16:01:47,13,2472,-89,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
b0:a7:b9:43:47:03,CashMag_POS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 16:01:47,11,2462,-91,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
a4:ce:da:bc:fd:80,mmansell4,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][WPS],2024-10-05 16:01:47,100,5500,-92,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
e8:8f:6f:a2:57:96,Floatinn,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2024-10-05 16:01:47,8,2447,-88,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
ec:f4:51:f0:94:d1,bbs-98541,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2024-10-05 16:01:47,100,5500,-91,46.20999843,6.155567729,429.6714478,7.08017683,,,WIFI,0.014118223113489516,1.6366685822462648
22803_46001_28934177,Salt Mobile SA,LTE;ch,2024-10-05 16:01:47,3300,3300,-113,46.20999843,6.155567729,429.6714478,7.08017683,,,GSM,0.014118223113489516,1.6366685822462648
22803_46001_28934177,Salt Mobile SA,LTE;ch,2024-10-05 16:01:47,3300,3300,-89,46.20999843,6.155567729,429.6714478,7.08017683,,,GSM,0.014118223113489516,1.6366685822462648
70:e4:22:a4:9b:10,((o)) ville-geneve,[ESS],1970-01-01 0:00:00,11,2462,-85,46.21106469,6.153068195,0.0,36.94240952,,,WIFI,0.01334920601961336,1.5905429604753707
84:b2:61:ff:49:60,((o)) ville-geneve,[ESS],1970-01-01 0:00:00,1,2412,-81,46.21106469,6.153068195,0.0,36.94240952,,,WIFI,0.01334920601961336,1.5905429604753707
34:60:f9:b3:94:7e,TP-Link_105A,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1970-01-01 0:00:00,10,2457,-90,46.21106394,6.153071535,0.0,36.94240952,,,WIFI,0.013350453309899712,1.5906419694947926
a0:b5:49:65:4a:90,Arie,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1970-01-01 0:00:00,100,5500,-91,46.2110632,6.153074875,0.0,36.94240952,,,WIFI,0.013351709647289258,1.5907418777296936
a8:c0:ea:04:ca:e2,Restaurateur (private),[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1970-01-01 0:00:00,6,2437,-85,46.2110632,6.153074875,0.0,36.94240952,,,WIFI,0.013351709647289258,1.5907418777296936
58:fb:96:12:b9:78,GPS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1970-01-01 0:00:00,11,2462,-89,46.21106245,6.153078215,0.0,36.94240952,,,WIFI,0.0133529584582841,1.5908409665903063
0a:10:1d:6e:6c:fb,Joandroid,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1970-01-01 0:00:00,10,2457,-91,46.21106245,6.153078215,0.0,36.94240952,,,WIFI,0.0133529584582841,1.5908409665903063
74:83:c2:cb:df:30,Genevatour,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1970-01-01 0:00:00,40,5200,-89,46.2110617,6.153081555,0.0,36.94240952,,,WIFI,0.013354208029980838,1.5909400954162334
c8:4f:86:9a:d2:be,TBH_Interne,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS],1970-01-01 0:00:00,6,2437,-87,46.21106095,6.153084895,0.0,36.94240952,,,WIFI,0.013355458362160072,1.5910392642004005
bc:f2:af:d2:f6:4a,wifi-home,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],1970-01-01 0:00:00,11,2462,-90,46.2110602,6.153088235,0.0,36.94240952,,,WIFI,0.013356709454619996,1.5911384729346794
70:47:77:a9:bb:5e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],1970-01-01 0:00:00,153,5765,-92,46.2110602,6.153088235,0.0,36.94240952,,,WIFI,0.013356709454619996,1.5911384729346794
